id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2011-19,50
frozen-yogurt,/m/020b3f,2011-20,52
frozen-yogurt,/m/020b3f,2011-21,58
frozen-yogurt,/m/020b3f,2011-22,61
frozen-yogurt,/m/020b3f,2011-23,69
frozen-yogurt,/m/020b3f,2011-24,74
frozen-yogurt,/m/020b3f,2011-25,67
frozen-yogurt,/m/020b3f,2011-26,68
frozen-yogurt,/m/020b3f,2011-27,80
frozen-yogurt,/m/020b3f,2011-28,72
frozen-yogurt,/m/020b3f,2011-29,84
frozen-yogurt,/m/020b3f,2011-30,77
frozen-yogurt,/m/020b3f,2011-31,66
frozen-yogurt,/m/020b3f,2011-32,65
frozen-yogurt,/m/020b3f,2011-33,59
frozen-yogurt,/m/020b3f,2011-34,59
frozen-yogurt,/m/020b3f,2011-35,49
frozen-yogurt,/m/020b3f,2011-36,53
frozen-yogurt,/m/020b3f,2011-37,37
frozen-yogurt,/m/020b3f,2011-38,46
frozen-yogurt,/m/020b3f,2011-39,37
frozen-yogurt,/m/020b3f,2011-40,39
frozen-yogurt,/m/020b3f,2011-41,39
frozen-yogurt,/m/020b3f,2011-42,32
frozen-yogurt,/m/020b3f,2011-43,33
frozen-yogurt,/m/020b3f,2011-44,27
frozen-yogurt,/m/020b3f,2011-45,31
frozen-yogurt,/m/020b3f,2011-46,30
frozen-yogurt,/m/020b3f,2011-47,33
frozen-yogurt,/m/020b3f,2011-48,24
frozen-yogurt,/m/020b3f,2011-49,24
frozen-yogurt,/m/020b3f,2011-50,25
frozen-yogurt,/m/020b3f,2011-51,25
frozen-yogurt,/m/020b3f,2011-52,34
frozen-yogurt,/m/020b3f,2012-01,40
frozen-yogurt,/m/020b3f,2012-02,42
frozen-yogurt,/m/020b3f,2012-03,44
frozen-yogurt,/m/020b3f,2012-04,45
frozen-yogurt,/m/020b3f,2012-05,42
frozen-yogurt,/m/020b3f,2012-06,40
frozen-yogurt,/m/020b3f,2012-07,36
frozen-yogurt,/m/020b3f,2012-08,51
frozen-yogurt,/m/020b3f,2012-09,47
frozen-yogurt,/m/020b3f,2012-10,47
frozen-yogurt,/m/020b3f,2012-11,55
frozen-yogurt,/m/020b3f,2012-12,55
frozen-yogurt,/m/020b3f,2012-13,50
frozen-yogurt,/m/020b3f,2012-14,55
frozen-yogurt,/m/020b3f,2012-15,55
frozen-yogurt,/m/020b3f,2012-16,60
frozen-yogurt,/m/020b3f,2012-17,61
frozen-yogurt,/m/020b3f,2012-18,62
frozen-yogurt,/m/020b3f,2012-19,63
frozen-yogurt,/m/020b3f,2012-20,68
frozen-yogurt,/m/020b3f,2012-21,76
frozen-yogurt,/m/020b3f,2012-22,79
frozen-yogurt,/m/020b3f,2012-23,81
frozen-yogurt,/m/020b3f,2012-24,79
frozen-yogurt,/m/020b3f,2012-25,95
frozen-yogurt,/m/020b3f,2012-26,88
frozen-yogurt,/m/020b3f,2012-27,94
frozen-yogurt,/m/020b3f,2012-28,87
frozen-yogurt,/m/020b3f,2012-29,88
frozen-yogurt,/m/020b3f,2012-30,82
frozen-yogurt,/m/020b3f,2012-31,78
frozen-yogurt,/m/020b3f,2012-32,81
frozen-yogurt,/m/020b3f,2012-33,72
frozen-yogurt,/m/020b3f,2012-34,71
frozen-yogurt,/m/020b3f,2012-35,66
frozen-yogurt,/m/020b3f,2012-36,68
frozen-yogurt,/m/020b3f,2012-37,60
frozen-yogurt,/m/020b3f,2012-38,57
frozen-yogurt,/m/020b3f,2012-39,53
frozen-yogurt,/m/020b3f,2012-40,49
frozen-yogurt,/m/020b3f,2012-41,42
frozen-yogurt,/m/020b3f,2012-42,43
frozen-yogurt,/m/020b3f,2012-43,41
frozen-yogurt,/m/020b3f,2012-44,31
frozen-yogurt,/m/020b3f,2012-45,29
frozen-yogurt,/m/020b3f,2012-46,37
frozen-yogurt,/m/020b3f,2012-47,32
frozen-yogurt,/m/020b3f,2012-48,26
frozen-yogurt,/m/020b3f,2012-49,32
frozen-yogurt,/m/020b3f,2012-50,29
